traj_id,coordinates
20,"[[116.512634  39.801376]
 [116.508865  39.806023]
 [116.506592  39.808849]
 [116.500443  39.806313]
 [116.495682  39.810669]
 [116.496353  39.816467]
 [116.507286  39.820152]
 [116.500618  39.82275 ]
 [116.490456  39.830868]
 [116.481873  39.839008]
 [116.473206  39.847389]
 [116.463486  39.855846]
 [116.456108  39.862343]
 [116.460892  39.868557]
 [116.461121  39.877129]
 [116.461342  39.886238]
 [116.461624  39.891895]
 [116.461861  39.894779]]"
21,"[[116.444572  39.874966]
 [116.439194  39.870728]
 [116.41938   39.871605]
 [116.421585  39.866131]
 [116.421967  39.858612]
 [116.415848  39.857422]
 [116.414215  39.855167]
 [116.414581  39.848309]
 [116.414803  39.843487]
 [116.415016  39.838806]
 [116.415154  39.836727]]"
22,"[[116.398346  39.791897]
 [116.398109  39.796234]
 [116.395393  39.80241 ]
 [116.39016   39.803398]
 [116.383133  39.803226]
 [116.377357  39.804958]
 [116.372551  39.808327]
 [116.365921  39.813515]
 [116.36618   39.821358]
 [116.368591  39.827869]
 [116.366615  39.831379]
 [116.352646  39.831131]
 [116.338753  39.830826]
 [116.32502   39.830631]
 [116.311775  39.830605]
 [116.298203  39.830624]
 [116.287453  39.834721]
 [116.284004  39.844765]
 [116.282951  39.858444]
 [116.282349  39.868355]
 [116.276993  39.879539]
 [116.271309  39.880997]
 [116.264626  39.882469]
 [116.260727  39.88588 ]
 [116.253609  39.886024]
 [116.252876  39.8895  ]]"
23,"[[116.1996    39.924641]
 [116.208046  39.924522]
 [116.210228  39.923668]
 [116.211525  39.918808]
 [116.21077   39.910072]
 [116.212021  39.90741 ]
 [116.215584  39.907391]
 [116.224419  39.907394]]"
26,"[[116.305763  39.941559]
 [116.30439   39.937695]
 [116.302536  39.934261]
 [116.301331  39.931313]
 [116.301216  39.928215]]"
27,"[[116.290848  39.923985]
 [116.298447  39.923943]
 [116.306984  39.923824]
 [116.310669  39.92448 ]
 [116.310249  39.929169]
 [116.310303  39.937302]
 [116.312019  39.941071]
 [116.320267  39.939068]
 [116.325172  39.938663]]"
28,"[[116.324135  39.951763]
 [116.323502  39.955982]
 [116.322792  39.960537]
 [116.321526  39.966328]
 [116.31617   39.965519]
 [116.308922  39.96307 ]
 [116.307617  39.96632 ]
 [116.307228  39.969685]]"
29,"[[116.306831  39.9687  ]
 [116.302475  39.968479]
 [116.297348  39.968281]
 [116.297798  39.965267]
 [116.298401  39.963097]
 [116.298996  39.961361]]"
30,"[[116.288254  39.959473]
 [116.292511  39.959667]
 [116.293671  39.957684]
 [116.302292  39.959789]
 [116.306313  39.961338]
 [116.309303  39.962528]
 [116.315262  39.964806]]"
31,"[[116.334991  39.959282]
 [116.340042  39.957962]
 [116.345879  39.95821 ]
 [116.346992  39.955612]
 [116.347908  39.952602]]"
32,"[[116.350105  39.923626]
 [116.34523   39.923515]
 [116.344208  39.926315]
 [116.343987  39.931465]
 [116.344093  39.936878]
 [116.34272   39.933338]
 [116.34404   39.929657]
 [116.344093  39.926498]]"
33,"[[116.322922  39.896805]
 [116.331276  39.896961]
 [116.342529  39.897572]
 [116.348412  39.895515]
 [116.348732  39.888702]
 [116.349014  39.880173]
 [116.34893   39.872242]
 [116.354637  39.868374]
 [116.36705   39.869595]
 [116.378799  39.87056 ]
 [116.389381  39.87125 ]
 [116.398582  39.871651]
 [116.409073  39.872082]
 [116.417885  39.871071]
 [116.429558  39.871124]
 [116.432419  39.870968]
 [116.441589  39.870529]
 [116.44593   39.87748 ]
 [116.446548  39.884521]
 [116.455856  39.884518]]"
34,"[[116.324097  39.896923]
 [116.317245  39.897217]
 [116.311783  39.897179]
 [116.310333  39.901669]
 [116.310364  39.909069]
 [116.310349  39.917038]
 [116.31028   39.923962]
 [116.310287  39.93092 ]
 [116.310318  39.938114]
 [116.310242  39.945671]
 [116.310455  39.950993]]"
35,"[[116.304276  39.924133]
 [116.301186  39.923996]
 [116.297592  39.927639]
 [116.297096  39.935429]
 [116.296257  39.944683]
 [116.301392  39.945171]
 [116.309906  39.942196]
 [116.305382  39.944244]
 [116.306183  39.947624]]"
36,"[[116.273788  39.946106]
 [116.273933  39.937946]
 [116.274338  39.933929]
 [116.274818  39.92915 ]
 [116.273903  39.925358]
 [116.265511  39.924335]
 [116.264679  39.921204]
 [116.264679  39.91787 ]]"
37,"[[116.27372   39.904495]
 [116.273735  39.901268]
 [116.27243   39.898254]
 [116.272629  39.895977]
 [116.273674  39.892204]
 [116.273842  39.886517]
 [116.27536   39.881874]
 [116.274994  39.884769]]"
38,"[[116.26799   39.917568]
 [116.27372   39.917656]
 [116.274216  39.915462]
 [116.273788  39.912003]
 [116.273918  39.900818]
 [116.273811  39.892895]
 [116.272842  39.889694]
 [116.268364  39.889595]
 [116.261124  39.889587]]"
39,"[[116.243813  39.833717]
 [116.246544  39.83392 ]
 [116.248131  39.834644]
 [116.250175  39.835613]
 [116.252365  39.836697]
 [116.253265  39.84206 ]
 [116.256371  39.841442]
 [116.258408  39.840515]
 [116.257568  39.838299]
 [116.25708   39.836407]
 [116.260262  39.835236]
 [116.26265   39.834835]
 [116.264984  39.83453 ]
 [116.272934  39.834827]
 [116.275269  39.835117]
 [116.278587  39.8354  ]
 [116.280159  39.834881]
 [116.279999  39.832352]
 [116.280029  39.829399]
 [116.280739  39.825874]
 [116.279182  39.82346 ]
 [116.278748  39.822716]
 [116.280182  39.824955]
 [116.283554  39.823765]
 [116.285698  39.824406]
 [116.288193  39.82777 ]
 [116.292809  39.827705]
 [116.292542  39.830479]
 [116.295708  39.830585]
 [116.300713  39.830578]
 [116.308365  39.83057 ]
 [116.311012  39.830578]
 [116.314781  39.830551]
 [116.318466  39.830536]
 [116.32093   39.830521]
 [116.328728  39.83057 ]
 [116.333847  39.830574]
 [116.341377  39.830879]
 [116.351326  39.830982]
 [116.356346  39.830975]
 [116.360176  39.830853]
 [116.366707  39.830902]
 [116.369064  39.830929]
 [116.368042  39.826706]
 [116.366661  39.822998]
 [116.369728  39.822834]
 [116.373512  39.822941]
 [116.377365  39.82304 ]
 [116.380348  39.823109]
 [116.383659  39.823196]
 [116.386971  39.82328 ]
 [116.390488  39.823364]
 [116.394157  39.824047]
 [116.395973  39.823315]
 [116.395554  39.821033]
 [116.395409  39.820522]]"
41,"[[116.442894  39.89558 ]
 [116.441696  39.893852]
 [116.439034  39.893986]
 [116.43927   39.895794]
 [116.438812  39.897789]
 [116.435425  39.897854]
 [116.436005  39.900932]
 [116.433434  39.900967]
 [116.430573  39.900795]
 [116.426994  39.900681]
 [116.422951  39.900581]
 [116.420273  39.900799]
 [116.421745  39.902618]
 [116.424103  39.904472]
 [116.426369  39.905037]
 [116.427132  39.907158]
 [116.427017  39.909817]
 [116.426804  39.912937]
 [116.426682  39.915089]
 [116.423386  39.915615]
 [116.42099   39.915657]
 [116.418106  39.915684]
 [116.414192  39.9156  ]
 [116.409752  39.915382]
 [116.406876  39.915298]
 [116.406639  39.914398]]"
42,"[[116.275093  39.916298]
 [116.275307  39.918339]
 [116.275459  39.920834]
 [116.276405  39.923771]
 [116.275818  39.926132]
 [116.275604  39.928017]
 [116.27536   39.930511]
 [116.275063  39.932766]
 [116.274628  39.936047]
 [116.274467  39.941525]
 [116.274994  39.94455 ]
 [116.278908  39.946533]
 [116.281357  39.946449]
 [116.285606  39.946438]
 [116.289261  39.947079]
 [116.294655  39.94751 ]
 [116.297958  39.946476]
 [116.30088   39.945461]
 [116.304611  39.944187]
 [116.308846  39.942619]
 [116.311676  39.941212]
 [116.310371  39.942402]
 [116.310112  39.946033]
 [116.309769  39.950169]
 [116.30941   39.954498]
 [116.309189  39.95668 ]
 [116.309341  39.9627  ]
 [116.313263  39.964066]
 [116.318909  39.966103]
 [116.321495  39.966961]
 [116.323906  39.96714 ]
 [116.326538  39.967236]
 [116.328941  39.967331]
 [116.334061  39.967514]
 [116.341408  39.967594]
 [116.349052  39.967632]
 [116.351624  39.967655]
 [116.354256  39.967697]
 [116.358986  39.967705]
 [116.361565  39.967709]
 [116.366455  39.96777 ]
 [116.369011  39.96785 ]
 [116.371498  39.96793 ]
 [116.374084  39.968002]
 [116.376617  39.968067]
 [116.381638  39.968151]
 [116.386322  39.968277]
 [116.388695  39.968338]
 [116.396652  39.968555]
 [116.401939  39.968616]
 [116.405937  39.96859 ]]"
43,"[[116.373909  40.009895]
 [116.371567  40.010288]
 [116.371048  40.013126]
 [116.371429  40.011871]
 [116.371544  40.00983 ]
 [116.37159   40.01017 ]]"
44,"[[116.342949  40.007656]
 [116.341011  40.006775]
 [116.340172  40.004711]
 [116.338943  40.002289]
 [116.339302  40.000538]
 [116.339989  39.998581]]"
45,"[[116.305679  39.981483]
 [116.305901  39.979469]
 [116.306259  39.976974]
 [116.303955  39.975464]
 [116.303276  39.975193]
 [116.306175  39.975506]
 [116.306648  39.972031]
 [116.306419  39.97049 ]]"
46,"[[116.288345  39.957745]
 [116.288589  39.959335]
 [116.291191  39.959538]
 [116.293983  39.95908 ]
 [116.294876  39.952896]
 [116.294899  39.94656 ]
 [116.293541  39.947498]
 [116.297028  39.946686]
 [116.30114   39.945316]
 [116.307411  39.943153]
 [116.309799  39.941723]
 [116.310204  39.937881]
 [116.310196  39.932461]
 [116.31015   39.928497]
 [116.310158  39.926502]
 [116.310165  39.924324]
 [116.310165  39.922134]
 [116.310188  39.915813]
 [116.310211  39.9119  ]
 [116.310165  39.906574]
 [116.307899  39.907181]
 [116.314735  39.907421]
 [116.321182  39.906044]
 [116.321175  39.902287]
 [116.321144  39.899265]
 [116.321098  39.898411]]"
